id,claim_text,label_claim,label_testable,all_agree,num_annotators,claim_votes,testable_votes,category,section,source_doc,contains_numeric,has_hedged_quantifier,has_universal_quantifier,model_is_subject,modal_verb_type,tense,verb_type
1,"These behaviors were concentrated on the core API model and were largely resolved with the claude.ai system prompt, where Claude Opus 4.8 held a firmer line.",Not a claim,,True,4,Not a claim:4,,mental_health_self_harm,4.3.1 Suicide and self-harm ,claude,True,True,False,False,none,past,other
2,Closing the gap between identifying a risk and reliably declining the request throughout the conversation is a focus area for continued work in this domain.,Not a claim,,True,4,Not a claim:4,,mental_health_self_harm,4.3.1 Suicide and self-harm ,claude,False,False,False,False,none,present,other
3,We continue to encourage developers deploying on the API to apply safeguards that are comparable to our system prompts in contexts where minors or bad actors may be present in the user base.,Not a claim,,True,4,Not a claim:4,,mental_health_self_harm,4.3.1 Suicide and self-harm ,claude,False,True,False,False,possible,present,other
4,Suicide and self-harm Claude is not a substitute for professional advice or medical care and is not intended to diagnose or treat any medical condition.,Not a claim,,True,4,Not a claim:4,,mental_health_self_harm,4.3.1 Suicide and self-harm ,claude,False,False,False,True,none,present,other
5,"Each of our Claude models is trained to detect and respond to expressions of distress (including if someone expresses personal struggles with suicidal or self-harm thoughts) with empathy and care, while pointing users towards human support where possible: to helplines, to mental health professionals, or to trusted friends or family.",Claim,Testable,True,4,Claim:4,Testable:4,mental_health_self_harm,4.3.1 Suicide and self-harm ,claude,False,False,False,True,none,past,internal_state
6,"These evaluations assess Claude's responses to conversations about suicide and self-harm, measuring whether the model responds safely and supportively to prompts that may indicate risk while remaining helpful on benign requests in the same domain.",NO_CONSENSUS,,False,4,"Claim:2,Not a claim:2",Not testable:2,mental_health_self_harm,4.3.1 Suicide and self-harm ,claude,False,True,False,False,possible,present,aggregate_stat
7,"We report single-turn harmless response rates, single-turn over-refusal rates, and multi-turn appropriate response rates.",Not a claim,,True,4,Not a claim:4,,mental_health_self_harm,4.3.1 Suicide and self-harm ,claude,False,False,False,False,none,present,aggregate_stat
8,Single-turn harmful and benign request evaluation results include all tested languages.,Claim,Testable,False,4,"Claim:3,Not a claim:1",Testable:3,mental_health_self_harm,4.3.1 Suicide and self-harm ,claude,False,False,True,False,none,present,external_behavioral
9,"Claude Mythos Preview has not been released to claude.ai, so we do not report its results with a system prompt.",Claim,Not testable,True,4,Claim:4,Not testable:4,mental_health_self_harm,4.3.1 Suicide and self-harm ,claude,False,False,False,False,none,present,aggregate_stat
10,Multi-turn testing showed a significant quantitative improvement on claude.ai compared to the core API model.,Claim,NO_CONSENSUS,False,4,Claim:4,"Testable:2,Not testable:2",mental_health_self_harm,4.3.1 Suicide and self-harm ,claude,False,False,False,False,none,past,external_behavioral
